# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
a li 	阿里	c=0 d=0.1 t=3351
a li yun 	阿里雲	c=7 d=3.41484 t=4356
a liang 	阿亮	c=2 d=1.90484 t=6663
ai 	唉	c=7 d=1.00051 t=4686
ai gong 	艾公	c=1 d=1 t=6115
ai guo 	愛國	c=2 d=1.98511 t=5868
ai guo zhe 	愛國者	c=1 d=1 t=5870
ai ka 	愛卡	c=1 d=1 t=5779
ai ni 	愛你	c=1 d=1 t=5882
ai shang 	愛上	c=1 d=1 t=280
ai ta 	愛他	c=1 d=1 t=7610
an 	按	c=3 d=1 t=7624
an fang 	安防	c=2 d=1.98511 t=4249
an jian 	按鍵	c=2 d=1.00017 t=6411
an jian 	案件	c=1 d=1 t=4679
an jing 	安靜	c=1 d=1 t=4871
an niu 	按鈕	c=1 d=1 t=5270
an quan 	安全	c=3 d=1.0615 t=6166
an quan ce shi bao gao 	安全測試報告	c=1 d=1 t=6063
an xian 	暗線	c=1 d=1 t=1129
an yi 	安逸	c=3 d=2.96546 t=1631
an zhao 	按照	c=1 d=1 t=3519
an zhuang 	安裝	c=17 d=0.106129 t=6653
an zhuang bu liao 	安裝不了	c=1 d=1 t=2821
an zhuang yuan 	安裝源	c=1 d=1 t=6654
ao 	奧	c=0 d=0.193584 t=4794
ao da tong 	奧打通	c=1 d=1 t=4392
ao di 	奧迪	c=4 d=1.00066 t=8064
ao en 	奧恩	c=2 d=1.94649 t=4838
ao men 	澳門	c=4 d=3.59944 t=5005
ba 	吧	c=45 d=1.84594 t=8198
ba 	巴	c=1 d=1 t=1028
ba 	把	c=32 d=1.65405 t=7954
ba kuai qian 	八塊錢	c=1 d=1 t=7086
ba le 	拔了	c=2 d=1.08127 t=5558
ba ni 	把你	c=1 d=1 t=773
ba suo you 	把所有	c=1 d=1 t=5460
ba ta 	把她	c=1 d=1 t=7275
bai 	白	c=1 d=1 t=7121
bai ban 	白板	c=1 d=1 t=4988
bai cai 	白菜	c=2 d=1.81873 t=6464
bai du 	百度	c=4 d=1.00033 t=5609
bai sui 	百歲	c=0 d=0.1 t=1279
bai sui shan 	百歲山	c=2 d=1.99501 t=1281
bai yin 	白銀	c=1 d=1 t=5756
ban 	版	c=4 d=0.909373 t=8218
ban 	辦	c=1 d=1 t=5634
ban ben 	版本	c=7 d=1 t=7356
ban chu qu 	搬出去	c=1 d=1 t=775
ban ge 	半個	c=1 d=1 t=1100
ban gong 	辦公	c=4 d=1.00002 t=5132
ban kuai 	板塊	c=1 d=1 t=1546
ban lang 	伴郎	c=2 d=1.93239 t=6395
ban niang 	伴娘	c=1 d=1 t=6398
ban shan yao 	半山腰	c=1 d=1 t=1262
bang ding 	綁定	c=1 d=1 t=908
bang wo 	幫我	c=0 d=0.1 t=3090
bao 	包	c=5 d=1.71245 t=8115
bao 	寶	c=1 d=0.1 t=3256
bao 	飽	c=1 d=1 t=6189
bao biao 	報表	c=4 d=1.00448 t=6783
bao chi 	保持	c=1 d=1 t=2597
bao cun 	保存	c=1 d=1 t=4252
bao de ji tuan 	寶德集團	c=1 d=1 t=3257
bao gao 	報告	c=1 d=1.05916 t=6167
bao hu se 	保護色	c=1 d=1 t=6751
bao jing 	報警	c=1 d=1 t=4266
bao liu 	保留	c=1 d=1 t=4478
bao nv 	豹女	c=1 d=1 t=7742
bao rong 	寶榮	c=1 d=1 t=3733
bao shi 	寶石	c=0 d=0.1 t=5725
bao shi qi shi 	寶石騎士	c=1 d=1 t=5726
bao xiao 	報銷	c=2 d=1.93828 t=6555
bao xiao de 	報銷的	c=1 d=1 t=6106
bao yang 	保養	c=0 d=0.1 t=3686
bao yang quan 	保養券	c=1 d=1 t=3687
bao you 	保佑	c=1 d=1.04677 t=1619
bao you wo 	保佑我	c=1 d=1 t=1468
bao zheng 	保證	c=1 d=1 t=5938
bei 	北	c=2 d=1.00005 t=4815
bei 	背	c=3 d=1.00429 t=6392
bei 	被	c=4 d=1.00042 t=6393
